Video ID,Views,Likes,Comments,Duration
DfYL-zr1ycw,405370,34114,293,PT5H49M43S
e8gSzM_xXk8,361540,32514,206,PT4H35M6S
erwJE8FycJ8,172661,20784,232,PT10M59S
pFMtZ-07Fgs,380928,36465,174,PT4H30M24S
fPbGXJIdPcE,297700,30113,272,PT2H33M37S
ALjix1Tv5Zo,331634,39871,315,PT9M16S
yINJMIyrd3k,261714,33654,453,PT8M1S
yKvpybb0jrg,186411,14784,96,PT31M47S
CQJAfASEp6M,271493,42618,546,PT8M5S
ArKQDRKCpvk,387038,34439,213,PT4H42M57S
D1HRyt7f-Dw,255887,26156,113,PT2H36M6S
AysmWgBWCZU,1485905,117276,2476,PT8M50S
iunYJqrpOy8,435769,36539,224,PT7H48M31S
bfjZxjd9Gh0,280560,27493,402,PT10M46S
zI4xtZTWWNg,346999,32976,144,PT4H6M42S
emhDc6b-pS0,325019,29615,191,PT2H52M4S
jKslcQeo02I,465457,38776,355,PT8M7S
KS-Hz5QBf9c,379653,35112,177,PT4H8M4S
t4ebkYYgglI,370408,34186,221,PT3H6M27S
Tl8gQ8nysqc,335629,32825,193,PT2H46M14S
GJwKyryFL6Q,348397,34014,266,PT3H28M4S
_t1LTZtLaKc,462114,40468,310,PT6H57M8S
vLV33qjn4vc,191934,21569,86,PT1H47M19S
UFeMNtHQ3IQ,293771,29849,214,PT2H51M6S
d_ICwt7I9bk,196709,24409,103,PT1H53M14S
GLKHQFUMHuY,244650,23846,219,PT2H26M43S
